Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
1	10.308868501529052	4727.2650356778795	['6330403K07Rik', 'Cryab', 'Enpp2', 'Kctd12', 'Neurod6', 'Plp1']	[0.009913578792723653, 0.9554114009000589, 1.9996149894695192, 0.020512835899030687, 0.9803135386340813, 11.119824361224648]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.09032478747284581, 0.16410786823546908, 0.019729056342361006, 0.05381325623138143, 0.39132010130412404, 0.2807047313609216]
2	9.48721399730821	4687.432032301481	['Cryab', 'Neurod6']	[0.006233581060905646, 0.0015821082032434273]	['Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.001108211595056067, 0.003740320692736778, 0.005586326091848524, 0.0069362589942865045, 0.008561917955631706, 0.006437162002946278, 0.9645675084179737]
3	9.772245762711865	4550.7266949152545	['3110035E14Rik', 'Enpp2', 'Id2', 'Rgs4', 'Slc6a1']	[0.002556548696063233, 0.5039865035469885, 0.0480897845269541, 0.9769997988080867, 0.9894172576966198]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0014653580352196602, 0.0014907667674977562, 0.0015918816683983812, 0.01645653602708412, 0.0050987399610057165, 0.007124132934687562, 0.008370887241149977, 0.017460896426953337, 0.9372417043877462]
4	11.432246998284734	4497.694682675815	['Aldoc', 'Cryab', 'Cxcl14', 'Enpp2', 'Id2', 'Plp1', 'Pvalb', 'Sst']	[0.06377057020754842, 2.063459934238834, 0.9473948985332185, 1.9782563842873582, 0.9286680540189812, 11.103137035459618, 0.0844707111149085, 0.1536606591895446]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.011360736316609603, 0.17506449167211224, 0.04912497060265037, 0.0861688905046229, 0.44220557264085547, 0.23607533409764628]
5	10.737006237006238	4465.733887733888	['Aldoc', 'Arpp21', 'Cryab', 'Cxcl14', 'Enpp2', 'Id2', 'Plp1', 'Sulf2']	[0.5242744760852676, 0.026561494780195323, 2.085974392052735, 0.03292697105403281, 2.9806390762248025, 0.034416154238500016, 10.959894196338935, 0.987839069557354]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.0052772262514842756, 0.42318655335681943, 0.04126078715982535, 0.06974535574283727, 0.2851457272424088, 0.17538434819545648]
6	10.158573596358119	4351.352048558422	['6330403K07Rik', 'Aldoc', 'Gad1', 'Id2', 'Npy', 'Rorb']	[0.992067669481241, 0.003970001695881857, 2.979266446455451, 0.9858661638401609, 2.955260995207668, 0.005568663988204284]	['Astro.3', 'Cacna2d1.Lhx6.Reln', 'Cacna2d1.Lhx6.Vwa5a', 'Cacna2d1.Ndnf.Cxcl14', 'Cacna2d1.Ndnf.Npy', 'Cacna2d1.Ndnf.Rgs10', 'Calb2.Cntnap5a.Igfbp6', 'Calb2.Cntnap5a.Rspo3', 'Calb2.Cntnap5a.Vip', 'Calb2.Cryab', 'Calb2.Vip.Gpd1', 'Calb2.Vip.Igfbp4', 'Calb2.Vip.Nos1', 'Endo', 'Microglia.1', 'Microglia.2', 'Ntng1.Rgs10', 'Pvalb.C1ql1.Cpne5', 'Pvalb.C1ql1.Npy', 'Pvalb.Tac1.Nr4a2', 'Pvalb.Tac1.Sst', 'Sst.Erbb4.Rgs10', 'Sst.Erbb4.Th', 'Sst.Npy.Mgat4c', 'Sst.Npy.Zbtb20', 'Sst.Pnoc.Pvalb', 'Vip.Crh.C1ql1', 'Vsmc', 'Zero']	[0.0023392032257684974, 0.018656712212216937, 0.003026953845781999, 0.11427167656794839, 0.015149355218397602, 0.4080957533963301, 0.11026542272782842, 0.010864420438713714, 0.005570053305596624, 0.0027326344726086773, 0.0033967295920515846, 0.005975851987894637, 0.00264010407895493, 0.0021410903829684295, 0.0037511579028704084, 0.0020202061593507445, 0.0022552794552173454, 0.003829943181222773, 0.055371318353256656, 0.019690794185055746, 0.021178206985983872, 0.022683224270741008, 0.012997360175989897, 0.0012045130006050442, 0.0011166149687746876, 0.0010945359609596053, 0.003800132503021479, 0.0023795673135351774, 0.1353257138091626]
7	16.514190317195325	4301.486644407346	['Aldoc', 'Gad1', 'Id2', 'Npy', 'Plp1', 'Rorb', 'Satb1', 'Zcchc12']	[0.8944724923815044, 0.0011437377561085576, 2.9646755727412626, 0.001693652778398953, 0.7938734749127202, 0.8968050166005394, 0.9909436532827993, 0.9944076227447423]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.08284660940254474, 0.1761823822329109, 0.20466185532866216, 0.16291525358936587, 0.08622864203994239, 0.02124096209446874, 0.0032909948953973307, 0.0019985311143810125, 0.05009341773508449, 0.012155750240782196, 0.006039521406641651, 0.19002986828031368]
8	24.919372900335947	4249.736842105263	['Cplx2', 'Cryab', 'Fam19a1', 'Fos', 'Id2', 'Plcxd2', 'Rprm']	[0.016093194924426395, 0.9478499324577588, 0.9131279151402883, 0.9495273426220496, 1.6826914788121055, 0.9424208568156435, 0.9922694088684639]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.00624480482455512, 0.010923860628769476, 0.008800605334732288, 0.005465216526019802, 0.007682112429791516, 0.05007940954319867, 0.003943457991714918, 0.0010706142538754728, 0.04641657590280975, 0.021140077612583564, 0.022611879710494442, 0.8143183748765561]
9	10.207219251336898	4211.200534759359	['3110035E14Rik', 'Cplx2', 'Id2', 'Plp1']	[0.001555080805715689, 0.9517962411296014, 0.9978355534927951, 1.9865537812746035]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.5', 'PC.CA1.1', 'Vsmc', 'Zero']	[0.016586794337542385, 0.007131544000808518, 0.005350515274178697, 0.009631651565950049, 0.027315899968187465, 0.035151737510801674, 0.07786800461015067, 0.0654419027184403, 0.05828940456939702, 0.034534988980070826, 0.0029439092996455716, 0.0017278108009069128, 0.027056084267121253, 0.6266232451933842]
10	9.82	4516.7266666666665	['Cryab', 'Enpp2', 'Plp1', 'Pvalb', 'Sst']	[0.06126853989695167, 0.018342554331590537, 1.1575671653340154, 0.09222829315778217, 0.017442188720511433]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.5', 'PC.CA1.1', 'Vsmc', 'Zero']	[0.0037343771765997406, 0.0025552447121665227, 0.0012078183336648803, 0.001993636203226936, 0.006437821207133783, 0.011482043684435514, 0.026163068202269654, 0.017067440193752014, 0.016507675888355576, 0.01621795028245173, 0.0012499665840328327, 0.0010034041328483758, 0.014857322911127693, 0.8751585438615981]
