Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
1	10.308868501529052	4727.2650356778795	['6330403K07Rik', 'Cryab', 'Enpp2', 'Kctd12', 'Neurod6', 'Plp1']	[0.009442273230509753, 0.9305981205283594, 2.0010893565291763, 0.021976422331080533, 0.982956920345631, 11.106007375412801]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.30567884011504654, 0.07750333835639672, 0.21322478911884843, 0.37881494806404714, 0.02477630639859766]
2	9.48721399730821	4687.432032301481	['Neurod6']	[0.0016140190586065666]	['Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0016245932765691778, 0.008492659197546474, 0.001129127853842425, 0.005149441204251672, 0.007326558340440968, 0.004428035078744753, 0.9697881049501489]
3	9.772245762711865	4550.7266949152545	['3110035E14Rik', 'Enpp2', 'Id2', 'Rgs4', 'Slc6a1']	[0.0011447629930456378, 0.15975471163685395, 0.04521447693987935, 0.9532906755130607, 0.8772490842925106]	['Astro.1', 'Astro.2', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.002910547354327237, 0.00258082873222913, 0.0011708809696141637, 0.0033131193135306465, 0.013681485048286302, 0.00782734862159143, 0.0061153149513845486, 0.007156268315610084, 0.00794466628104316, 0.019418257165310523, 0.9261455788658711]
4	11.432246998284734	4497.694682675815	['Aldoc', 'Cryab', 'Cxcl14', 'Enpp2', 'Id2', 'Plp1', 'Pvalb', 'Sst']	[0.024290307625168577, 2.024423497315281, 0.8718633627309468, 1.9940084701216008, 0.912989533105027, 12.209657284430993, 0.02564893133306281, 0.031072779228569592]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.17009226000798686, 0.29905376523152866, 0.29497459782753593, 0.2301490356212402, 0.005730330925078347]
5	10.737006237006238	4465.733887733888	['Aldoc', 'Arpp21', 'Cryab', 'Cxcl14', 'Enpp2', 'Id2', 'Plp1', 'Sulf2']	[0.29626491099708013, 0.004538206872103549, 2.0506612588919477, 0.024613358852634014, 2.987074776434147, 0.030495154437299127, 10.939558517309026, 0.965560649857522]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.6744631768622249, 0.09204757385575507, 0.14408960913235103, 0.07758283836788904, 0.011816793284564944]
6	10.158573596358119	4351.352048558422	['6330403K07Rik', 'Aldoc', 'Gad1', 'Id2', 'Npy', 'Rorb']	[0.9770490388531964, 0.001055728577333818, 2.980029531805821, 0.9784672683661843, 2.844396385563, 0.0012872773420006904]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.5', 'Cacna2d1.Lhx6.Reln', 'Cacna2d1.Ndnf.Cxcl14', 'Cacna2d1.Ndnf.Rgs10', 'Calb2.Cntnap5a.Igfbp6', 'Calb2.Cntnap5a.Rspo3', 'Calb2.Cntnap5a.Vip', 'Calb2.Cryab', 'Calb2.Vip.Gpd1', 'Calb2.Vip.Igfbp4', 'Calb2.Vip.Nos1', 'Endo', 'Microglia.1', 'Pvalb.C1ql1.Cpne5', 'Pvalb.C1ql1.Npy', 'Pvalb.Tac1.Nr4a2', 'Pvalb.Tac1.Sst', 'Sst.Erbb4.Crh', 'Sst.Erbb4.Rgs10', 'Sst.Erbb4.Th', 'Sst.Pnoc.Pvalb', 'Vip.Crh.C1ql1', 'Vip.Crh.Pcp4', 'Vsmc', 'Zero']	[0.003560711090776916, 0.001312836667083156, 0.013677963484979351, 0.002494084998248558, 0.0010414988494308627, 0.018184174417298877, 0.01496431132438757, 0.6921575617840244, 0.016466134567276167, 0.0055081119311797145, 0.0022989553898487896, 0.004922162617900217, 0.008962596722968143, 0.0032091382173220595, 0.0013222647124610802, 0.0024080010889708614, 0.020473214533743712, 0.02476872458751159, 0.028108041519851846, 0.00347309608501995, 0.0014641150379409481, 0.0013547362808418073, 0.08176470953141715, 0.0018658841462688357, 0.005920927278600843, 0.0010317328707513955, 0.0019246834275737962, 0.03193358237186808]
7	16.514190317195325	4301.486644407346	['Aldoc', 'Id2', 'Npy', 'Plp1', 'Rorb', 'Satb1', 'Zcchc12']	[0.920537621157365, 2.9830855599076176, 0.002788160398945894, 0.19558653836796416, 0.7855912400825984, 0.9706847937499071, 0.9494465634803888]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Microglia.1', 'Microglia.2', 'Zero']	[0.1424303466432076, 0.24306379967334762, 0.24993094732843668, 0.2123245909246972, 0.12038558911888425, 0.002308006093664215, 0.009993428655503416, 0.0019275345314315221, 0.014625505197991806]
8	24.919372900335947	4249.736842105263	['Cplx2', 'Cryab', 'Fam19a1', 'Fos', 'Id2', 'Plcxd2', 'Rprm']	[0.006157961193449942, 0.48767279480401843, 0.5657872921669127, 0.6845880158861314, 1.6075229677518548, 0.4500358098175348, 0.7872142448362645]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.5', 'Vsmc', 'Zero']	[0.005358926856360245, 0.00923681705618761, 0.00439769874050469, 0.0039055178382817446, 0.009990942372935366, 0.08880486497267291, 0.0049558272027232135, 0.008632374162314757, 0.1303345857151339, 0.05369095666066048, 0.0011802771605160614, 0.052970062898202705, 0.6255991315844748]
9	10.207219251336898	4211.200534759359	['3110035E14Rik', 'Cplx2', 'Id2', 'Plp1']	[0.0013286786116259595, 0.9211071724248057, 0.9982708979852246, 1.9948832681252202]	['Astro.1', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5', 'Vsmc', 'Zero']	[0.004276571973584854, 0.002221695372335786, 0.010738234088556618, 0.004720922406748007, 0.04064557553007451, 0.46447373738247244, 0.011018949401474212, 0.005736569012962311, 0.017780042856314276, 0.0035290220179405793, 0.01187716602808364, 0.15933294264782766, 0.2461438766283389, 0.003911555619171757, 0.012204442713366228]
10	9.82	4516.7266666666665	['Cryab', 'Enpp2', 'Plp1', 'Pvalb', 'Sst']	[0.004491121158247111, 0.003894773160936278, 0.03867176104825612, 0.025421206226829245, 0.0029519896259577235]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0013588689754514903, 0.0011287558493306815, 0.0020582315268155805, 0.003476711677351826, 0.010898009920635417, 0.0030929871114720228, 0.007538888180789574, 0.009480309411847321, 0.006838827104903579, 0.9515974874634504]
11	42.63932172318973	4196.321264894592	['3110035E14Rik', 'Cck', 'Cplx2', 'Enpp2', 'Fam19a1', 'Id2', 'Plp1', 'Pvalb', 'Rgs4']	[1.9153596415132044, 0.25208795231775444, 0.05581068978229148, 1.991410063380608, 1.1035169411627246, 3.891995894339253, 14.655704303766903, 0.9561734277435432, 0.7523985892334203]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.34298306013763685, 0.06926864768415995, 0.01315788460484712, 0.05341825981113486, 0.521171707698216]
12	24.94485294117647	4865.358455882353	['6330403K07Rik']	[0.8093751977280903]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.005024234641088249, 0.0027602774688875805, 0.002449946429699395, 0.0012924453760147232, 0.0084907723953288, 0.0032303879961138424, 0.008708541032096097, 0.0020588994731105988, 0.006800255800126251, 0.007910984353426858, 0.006257646248934902, 0.9427853866006592]
13	38.025373134328355	4729.0932835820895	['6330403K07Rik', 'Cryab', 'Enpp2', 'Kctd12', 'Neurod6', 'Plp1']	[0.8176092023609796, 0.18730566064092014, 0.9807874021721027, 0.8708182839323969, 0.002386005682218141, 4.884827995515167]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.04316808463977529, 0.17623551204395035, 0.012598289537889145, 0.06717894729868215, 0.48981311028328134, 0.2110043444288977]
14	33.83404558404558	4635.407407407408	['Pde1a', 'Plp1']	[0.9765119466686836, 16.997458793747246]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.2621921873942392, 0.03535134827965228, 0.1892523677591112, 0.45323291983588226, 0.059970338380963634]
15	31.64189189189189	4354.564189189189	['Id2', 'Plp1']	[0.0032384671704882213, 0.8608215790033616]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.1', 'Oligo.3', 'Oligo.4', 'Oligo.5', 'Vsmc', 'Zero']	[0.002159283397962955, 0.00115177117239389, 0.005626413502752914, 0.007622227901733317, 0.0722535943576135, 0.06839112792899876, 0.021565574372223388, 0.023762296331047872, 0.001952373676049177, 0.0010294731912893823, 0.012412491568200975, 0.017839454566657205, 0.016741402296777612, 0.7460481526707123]
16	41.564625850340136	4283.206802721088	['Cryab', 'Kctd12', 'Plp1']	[1.3476123211971793, 0.9469385321129353, 5.782927845670577]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.004430466545501809, 0.13550880840269133, 0.021380040018993914, 0.10265411846188811, 0.5381142261126584, 0.19791233817776308]
17	48.38560606060606	4548.205303030303	['Enpp2', 'Id2', 'Plp1']	[3.797927264423274, 1.8429305690420479, 15.997966008145852]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.413288140621677, 0.2021436555670544, 0.1649121213826946, 0.21247216595729973, 0.0071839099358586124]
18	50.74737845567207	5034.464251668255	['Cryab', 'Enpp2', 'Npy', 'Plp1']	[2.982900388281363, 0.8219772653147328, 0.001252278617142541, 5.178973721948039]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.10728629963103045, 0.0513368237211014, 0.1918308177512024, 0.5707935033267189, 0.0786528581106504]
19	44.2360248447205	4795.282608695652	['Cadps2', 'Id2', 'Pvalb']	[0.40132842324564666, 0.0019156166823054764, 0.6756677092602502]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0014355733156454417, 0.0010329287461758859, 0.0017458901839482834, 0.003198350173110348, 0.009676028263950046, 0.002362605044905339, 0.006853729587193859, 0.009427829945610386, 0.006504351341100632, 0.9545684160169405]
20	56.52744310575636	4586.642570281125	['3110035E14Rik', 'Cpne5', 'Cryab', 'Enpp2', 'Npy', 'Pcp4', 'Plp1', 'Prkca']	[0.0010236035446164354, 1.7642485859722394, 0.9985495341048943, 1.9807818532696235, 0.9860233805029862, 0.8914173755996075, 7.99554821623615, 2.9907294810340965]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.029404508605787614, 0.10254102792445531, 0.312130920114516, 0.3077526286874721, 0.24815500414687666]
21	55.449438202247194	4419.345906902086	['Cryab', 'Cux2', 'Plp1', 'Rgs4']	[1.2319179110202643, 0.9561275908490315, 17.97871208335903, 0.006678198204966915]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.2125180609638121, 0.16333774446319316, 0.33136034704032913, 0.2710829968115216, 0.02170083825791389]
22	48.05494505494506	4926.945054945055	['3110035E14Rik', 'Enpp2', 'Pde1a', 'Plp1']	[0.9574482389965401, 0.8645474173868147, 0.005435927712787514, 6.271438248310571]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.41065192187685623, 0.050264641756986216, 0.08310606193511404, 0.17086143753390137, 0.28497935483958453]
23	59.08518877057115	5101.456921587609	['Cryab', 'Enpp2', 'Npy', 'Npy2r', 'Plp1']	[3.9946557411141272, 0.03214088048243169, 0.003353308939118997, 1.865518984105154, 13.610348814513348]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.11115415380804984, 0.11846476165321983, 0.39347421824264217, 0.3627897248274322, 0.014117134215347023]
24	63.94620811287478	4812.543209876543	['Aldoc', 'Id2', 'Plp1', 'Prkca', 'Pvalb', 'Snca']	[2.997220213293463, 0.9838730626086336, 0.911500796739087, 1.9916939894756183, 0.03838399135593693, 0.022122535105536942]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Eryth.2']	[0.05818568379002396, 0.0902331398994164, 0.04706176365205756, 0.13941531621928815, 0.6585705642582895, 0.006010892918063826]
25	72.61700767263427	4948.23273657289	['3110035E14Rik', 'Pvalb', 'Sulf2']	[0.0312549677340848, 0.09410393239368187, 0.8214007176480551]	['Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0012427933714752295, 0.007778246049875408, 0.009544391750839772, 0.007481910227663002, 0.003618995335128762, 0.9677031517181366]
26	70.92188468691879	4852.999380037198	['Cplx2', 'Cryab', 'Enpp2', 'Plp1', 'Sst']	[0.02213094359900885, 3.0055725077967663, 3.9964898828639006, 12.5690570292149, 0.9510436436224649]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.25857086306206944, 0.20689163732756555, 0.34808323317107714, 0.1850360242593272, 0.0014182412702598351]
27	76.59490084985836	4055.169162282477	['Id2', 'Pvalb']	[0.9383742493434155, 1.4946187801230395]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0014339333860238816, 0.001132447305917157, 0.0016379482526758145, 0.003551320450317089, 0.007507301404188068, 0.014957901595906554, 0.014599687559168528, 0.005239744046195181, 0.9476609046640765]
28	66.10372340425532	5011.031914893617	['Cryab', 'Enpp2', 'Kctd12', 'Npy', 'Plp1']	[5.787252943175481, 1.085504621411658, 0.002061842344296232, 0.974924871627953, 12.944276878256364]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.07788554751158826, 0.30009985190672334, 0.4641298472534255, 0.15541071259553546, 0.0024740407004480817]
29	61.25526315789474	4685.739473684211	['Cryab', 'Enpp2', 'Plp1']	[0.4764015077268166, 0.9905977515342101, 0.9995204479012472]	['Astro.1', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5', 'Vsmc', 'Zero']	[0.0011101755596821664, 0.002775005685965004, 0.004099101609837086, 0.007467868149170497, 0.12535280539775565, 0.002810821491487627, 0.0024185038412205175, 0.10451597938071695, 0.018158413557717162, 0.06205450894796961, 0.37638996938728775, 0.23733996574836166, 0.005473410360900419, 0.04865193612659101]
30	70.45362134688692	4115.264294790343	['Enpp2', 'Plp1']	[0.998604036096079, 9.051593905798768]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.26173525481439003, 0.03547353094418088, 0.13736098809819952, 0.4655163680929173, 0.09975515452121954]
31	76.44077134986226	4683.170798898072	['Enpp2']	[0.006913354265839208]	['Astro.1', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0010010227994369692, 0.0015614673997809052, 0.0027984191954516253, 0.009535594022856872, 0.0021516875925450315, 0.006586854019495126, 0.008566782133710637, 0.005922992469153368, 0.9594699649473285]
32	72.75579322638146	5070.295900178253	['Cryab', 'Enpp2', 'Htr3a', 'Kctd12', 'Npy', 'Pde1a', 'Plp1']	[1.0576877766955106, 0.04801835232815538, 0.89512577905189, 0.9540322023603518, 0.018076488404275604, 0.9858404101922028, 6.573979633686961]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.0022084681123927734, 0.14858761788452546, 0.02453582798633252, 0.11336870279514742, 0.5065347098207583, 0.20476467321931857]
33	74.94434782608695	4160.466086956521	['Plp1', 'Sst']	[10.848229734118512, 0.33218104988763947]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.26529122236939284, 0.03905760176939766, 0.17388821285734027, 0.42351731920328256, 0.09819664012295523]
