Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
1	10.308868501529052	4727.2650356778795	['6330403K07Rik', 'Cryab', 'Enpp2', 'Kctd12', 'Neurod6', 'Plp1']	[0.009442137191098125, 0.930564346164191, 2.0010887386816294, 0.021977707956641553, 0.9829592583651368, 11.105997163346549]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.3056222134007375, 0.0774604875820811, 0.21316423626145842, 0.3789553874759752, 0.024795893600205884]
2	9.48721399730821	4687.432032301481	['Neurod6']	[0.0016140130100678494]	['Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.001601860309843605, 0.00837756806948309, 0.0011130933280797154, 0.005078511905594376, 0.007226162152312501, 0.0043670047635324515, 0.97020573395767]
3	9.772245762711865	4550.7266949152545	['3110035E14Rik', 'Enpp2', 'Id2', 'Rgs4', 'Slc6a1']	[0.0011446203894747483, 0.1597235881574301, 0.04517512080173332, 0.9532564071053263, 0.8772193123377138]	['Astro.1', 'Astro.2', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.002867307549322502, 0.002541633979727968, 0.0011526101870036774, 0.0032645051819691403, 0.01349571824594808, 0.007726254200408345, 0.006031290890636068, 0.007061653271478477, 0.007840486114855326, 0.01916048781898041, 0.9271480210902423]
4	11.432246998284734	4497.694682675815	['Aldoc', 'Cryab', 'Cxcl14', 'Enpp2', 'Id2', 'Plp1', 'Pvalb', 'Sst']	[0.024311646687989793, 2.0244293024710456, 0.8719371311790768, 1.9940085801830048, 0.9129929300866408, 12.20970760703487, 0.025650529780723432, 0.031084635982308186]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.17009548113134088, 0.2989388203787211, 0.29494008169107133, 0.23028902400818843, 0.005736582378145839]
5	10.737006237006238	4465.733887733888	['Aldoc', 'Arpp21', 'Cryab', 'Cxcl14', 'Enpp2', 'Id2', 'Plp1', 'Sulf2']	[0.2965920814608672, 0.004538942343065672, 2.050662956807348, 0.02461439966759002, 2.987075521947771, 0.03049548874213267, 10.939563183325916, 0.9655667693655545]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.6745432735003521, 0.09199281063942319, 0.14402887291052316, 0.0776077455218814, 0.011827288909862113]
6	10.158573596358119	4351.352048558422	['6330403K07Rik', 'Aldoc', 'Gad1', 'Id2', 'Npy', 'Rorb']	[0.9770029198885071, 0.0010570396548172753, 2.980001932036818, 0.9784594787170137, 2.844310774209916, 0.0012881919778699002]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.5', 'Cacna2d1.Lhx6.Reln', 'Cacna2d1.Ndnf.Cxcl14', 'Cacna2d1.Ndnf.Rgs10', 'Calb2.Cntnap5a.Igfbp6', 'Calb2.Cntnap5a.Rspo3', 'Calb2.Cntnap5a.Vip', 'Calb2.Cryab', 'Calb2.Vip.Gpd1', 'Calb2.Vip.Igfbp4', 'Calb2.Vip.Nos1', 'Endo', 'Microglia.1', 'Pvalb.C1ql1.Cpne5', 'Pvalb.C1ql1.Npy', 'Pvalb.Tac1.Nr4a2', 'Pvalb.Tac1.Sst', 'Sst.Erbb4.Crh', 'Sst.Erbb4.Rgs10', 'Sst.Erbb4.Th', 'Sst.Pnoc.Pvalb', 'Vip.Crh.C1ql1', 'Vip.Crh.Pcp4', 'Vsmc', 'Zero']	[0.0035641725976576616, 0.0013137189386601084, 0.013682368810084125, 0.002497007958741884, 0.0010386929472811551, 0.018130929853556334, 0.014923148501541273, 0.6918347209164244, 0.01644690282340304, 0.005502859841780537, 0.0022956637173902916, 0.004918313690824576, 0.008949407083491246, 0.003204030867377791, 0.0013255199483038947, 0.002414584784937545, 0.020463241068788333, 0.024719798055369675, 0.02811003065054438, 0.003463173118368239, 0.0014648834915669637, 0.0013508576951651182, 0.08173772248016996, 0.0018634958078159252, 0.005913727621121024, 0.0010285848545637374, 0.0019299330263745345, 0.032486525457430915]
7	16.514190317195325	4301.486644407346	['Aldoc', 'Id2', 'Npy', 'Plp1', 'Rorb', 'Satb1', 'Zcchc12']	[0.9204963947829872, 2.9830869062942926, 0.0027904970861384317, 0.19555040627610729, 0.7855852268442989, 0.970683329102857, 0.9494688537297936]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Microglia.1', 'Microglia.2', 'Zero']	[0.14245494640767814, 0.2430010602804038, 0.24980618306168528, 0.21214866046016384, 0.12042860229750747, 0.0023135856897347463, 0.010020004410546299, 0.0019328989334565978, 0.014878122028775637]
8	24.919372900335947	4249.736842105263	['Cplx2', 'Cryab', 'Fam19a1', 'Fos', 'Id2', 'Plcxd2', 'Rprm']	[0.006147199941126696, 0.4852069927302769, 0.5658187304519046, 0.6820860432140682, 1.6052102307448226, 0.45013142110157917, 0.7872141917581699]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.5', 'Vsmc', 'Zero']	[0.0052774145746880465, 0.00908227527910107, 0.004305288095821683, 0.0038329941089703346, 0.009835379109855541, 0.08705843657546726, 0.004932426214105802, 0.008487445064908575, 0.12842792954028973, 0.053063411278622796, 0.001158870974793017, 0.05212780804856675, 0.6314861916501255]
9	10.207219251336898	4211.200534759359	['3110035E14Rik', 'Cplx2', 'Id2', 'Plp1']	[0.0013280901221136348, 0.9210959157786771, 0.9982640008273346, 1.9948783689696494]	['Astro.1', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5', 'Vsmc', 'Zero']	[0.004272096313536651, 0.0022177454756312793, 0.010728591055081442, 0.004722173075550307, 0.04067487469106189, 0.4644324264673726, 0.011024372075612235, 0.005739890695201213, 0.017768299716230028, 0.0035260047736745508, 0.011868894086993141, 0.15927193228190245, 0.24606561458811108, 0.003913500580314606, 0.012386834056654418]
10	9.82	4516.7266666666665	['Cryab', 'Enpp2', 'Plp1', 'Pvalb', 'Sst']	[0.004488444694958853, 0.0038946762346443262, 0.0386232743517226, 0.025421654296035063, 0.0029524682620263557]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.001338925615257859, 0.0011118907003195848, 0.002028192751009847, 0.0034292076915947186, 0.010752013569521292, 0.003049811325820087, 0.007437077300078517, 0.009352874616242093, 0.006746445961474291, 0.95225989683663]
11	42.63932172318973	4196.321264894592	['3110035E14Rik', 'Cck', 'Cplx2', 'Enpp2', 'Fam19a1', 'Id2', 'Plp1', 'Pvalb', 'Rgs4']	[1.9153783970883334, 0.25208903747728983, 0.05580850786824029, 1.9914086388562433, 1.1036092766203223, 3.892027667284426, 14.655691730830307, 0.9561746696033502, 0.7524229793518927]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.3427779018134575, 0.06920327453710767, 0.01314886144348533, 0.05341930693688139, 0.5214502143041833]
12	24.94485294117647	4865.358455882353	['6330403K07Rik']	[0.809202473055037]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.004948136233655588, 0.0027178603368990654, 0.0024112945428022767, 0.0012720266297061122, 0.00836331145162883, 0.0031863955428406954, 0.008594249421288972, 0.0020305272484772764, 0.006709389297976965, 0.007806042777345598, 0.006173911449085717, 0.94359137131617]
13	38.025373134328355	4729.0932835820895	['6330403K07Rik', 'Cryab', 'Enpp2', 'Kctd12', 'Neurod6', 'Plp1']	[0.8176016852228398, 0.18791266338358392, 0.9807892259466444, 0.8708421199874383, 0.0023859850484258755, 4.884840229334549]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.043146268035035344, 0.17617825507074258, 0.012596240866947082, 0.06717616978751427, 0.4898947983135747, 0.2110065588098648]
14	33.83404558404558	4635.407407407408	['Pde1a', 'Plp1']	[0.9765161158964483, 16.99745882073661]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.2621024736546564, 0.03532723759166303, 0.18917149210383633, 0.4533787662579688, 0.06001918985026561]
15	31.64189189189189	4354.564189189189	['Id2', 'Plp1']	[0.003235133587293027, 0.859072704639154]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.1', 'Oligo.3', 'Oligo.4', 'Oligo.5', 'Vsmc', 'Zero']	[0.002129757395815469, 0.0011367410018504125, 0.005545800153077662, 0.007526860348495956, 0.07127769695123919, 0.06718491953286657, 0.021301219602500535, 0.02348305230437408, 0.0019132254614497891, 0.001008765412068365, 0.012169225100058582, 0.01749575852315568, 0.016539712517532914, 0.7498644840148346]
16	41.564625850340136	4283.206802721088	['Cryab', 'Kctd12', 'Plp1']	[1.3496212416217401, 0.9469518240176258, 5.782965015969137]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.004419217267310479, 0.13544466743760117, 0.02138804132075063, 0.10269060300667375, 0.5382278574869922, 0.1978296112148515]
17	48.38560606060606	4548.205303030303	['Enpp2', 'Id2', 'Plp1']	[3.797957570110329, 1.8429752396663497, 15.997966086875572]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.41325404432393253, 0.20205583225343218, 0.16488978272259358, 0.21260796108011715, 0.007192373065502289]
18	50.74737845567207	5034.464251668255	['Cryab', 'Enpp2', 'Npy', 'Plp1']	[2.982902538089223, 0.8219821708107079, 0.0012523034386845145, 5.1789748480342475]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.1072638148712312, 0.051308330475476165, 0.1917661170029537, 0.5708792479042223, 0.07868268960187846]
19	44.2360248447205	4795.282608695652	['Cadps2', 'Id2', 'Pvalb']	[0.40140943082508, 0.0019150100952583147, 0.6756692773747491]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.0014145331033065174, 0.0010174895437407283, 0.001720480177274664, 0.003154812787857467, 0.009547239576215597, 0.0023300627098715608, 0.006761436046746844, 0.009301394721595354, 0.0064168061406784565, 0.9551883915967478]
